CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_INI_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA,TIPO_DEMONSTRATIVO
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.01,Receitas de Intermediação Financeira,278362644.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.01,Receitas de Intermediação Financeira,273505274.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.02,Despesas de Intermediação Financeira,-222113410.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.02,Despesas de Intermediação Financeira,-168990827.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.03,Resultado Bruto de Intermediação Financeira,56249234.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.03,Resultado Bruto de Intermediação Financeira,104514447.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04,Outras Despesas e Receitas Operacionais,-18309517.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.04,Outras Despesas e Receitas Operacionais,-76803858.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.05,Resultado antes dos Tributos sobre o Lucro,37939717.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.05,Resultado antes dos Tributos sobre o Lucro,27710589.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,1840960.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.06,Imposto de Renda e Contribuição Social sobre o Lucro,1460975.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.07,Lucro ou Prejuízo das Operações Continuadas,39780677.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.07,Lucro ou Prejuízo das Operações Continuadas,29171564.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.08,Resultado Líquido das Operações Descontinuadas,0.0000000000,S,ind
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.08,Resultado Líquido das Operações Descontinuadas,0.0000000000,S,con
00.000.000/0001-91,2024-12-31,1,BCO BRASIL S.A.,001023,DF Individual - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2024-01-01,2024-12-31,3.09,Lucro ou Prejuízo antes das Participações e Contribuições Estatutárias,39780677.0000000000,S,ind
